,sexo,edad,zona_u_r,gse,esc_nivel_1,info_enc_58,info_enc_30,religion_82,iden_pol_2,iden_pol_3,interes_pol_1_b,region_ANTOFAGASTA,region_ARAUCANÍA,region_ARICA Y PARINACOTA,region_ATACAMA,region_AYSÉN,region_BIOBÍO,region_COQUIMBO,region_LIBERTADOR BERNARDO OHIGGINS,region_LOS LAGOS,region_LOS RÍOS,region_MAGALLANES,region_MAULE,region_METROPOLITANA,region_TARAPACÁ,region_VALPARAÍSO,region_ÑUBLE,elec_pres_144_a,pred
0,2,40,1,3,3,2,0.0,9,8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
1,2,54,1,3,6,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
2,2,39,1,2,8,2,0.0,1,10,13,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
3,1,21,1,2,7,2,0.0,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
4,2,19,1,2,4,2,0.0,9,6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
5,2,36,1,1,8,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
6,1,34,1,2,4,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
7,2,42,1,3,3,2,0.0,9,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
8,1,21,1,4,3,2,0.0,10,5,17,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
9,2,35,1,4,7,1,5.0,11,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
10,1,51,1,2,5,2,0.0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
11,2,47,1,2,5,1,5.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
12,1,66,1,3,4,2,0.0,1,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0
13,1,79,1,3,2,2,0.0,9,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
14,2,24,1,3,4,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
15,2,28,1,4,6,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
16,2,60,1,4,2,8,0.0,1,10,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
17,1,23,1,3,7,1,5.0,9,3,15,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
18,2,60,1,3,2,2,0.0,3,88,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0
19,2,28,1,4,4,2,0.0,1,10,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
20,1,57,1,3,6,2,0.0,1,5,21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
21,2,52,1,2,6,2,0.0,4,10,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0
22,1,25,1,3,8,2,0.0,2,5,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2.0
23,1,46,1,4,4,2,0.0,2,5,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
24,1,55,1,3,8,2,0.0,2,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
25,2,33,1,3,6,1,5.0,9,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
26,1,28,1,3,4,2,0.0,1,99,19,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
27,1,52,1,3,2,2,0.0,2,88,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
28,2,57,1,2,4,2,0.0,1,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
29,1,69,1,3,3,2,0.0,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
30,1,68,1,3,9,2,0.0,1,5,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
31,2,42,1,4,2,1,5.0,1,5,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
32,1,80,1,3,1,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
33,1,30,1,3,4,2,0.0,9,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
34,2,48,2,4,1,2,0.0,2,10,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
35,2,28,1,3,8,2,0.0,1,10,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
36,2,52,1,2,8,2,0.0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
37,1,25,1,2,8,2,0.0,9,3,21,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
38,2,31,1,4,4,2,0.0,2,10,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,2,38,1,4,4,2,0.0,9,10,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
40,1,81,1,2,4,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
41,2,84,1,2,3,2,0.0,1,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
42,1,25,1,2,6,2,0.0,2,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
43,2,37,1,4,4,2,0.0,1,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
44,2,44,1,3,7,2,0.0,1,7,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
45,2,65,1,3,2,2,0.0,2,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
46,2,27,1,2,5,2,0.0,1,6,88,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
47,1,56,1,2,5,2,0.0,1,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
48,2,38,1,3,5,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0
49,2,66,1,3,4,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
50,1,32,1,2,8,2,0.0,9,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
51,2,33,1,3,4,2,0.0,9,88,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
52,1,51,1,2,8,2,0.0,1,8,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
53,1,39,1,1,8,1,5.0,9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
54,1,65,1,2,8,2,0.0,1,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
55,1,65,1,3,4,2,0.0,99,5,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
56,2,64,1,4,4,2,0.0,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0
57,1,46,1,3,4,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0
58,2,42,1,2,5,2,0.0,2,1,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0
59,2,33,1,3,6,1,5.0,1,99,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
60,1,63,1,3,4,2,0.0,1,5,17,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
61,1,32,1,2,9,2,0.0,10,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
62,2,28,1,2,8,2,0.0,9,4,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
63,2,63,1,3,8,2,0.0,1,99,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
64,1,31,2,3,4,2,0.0,8,88,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
65,2,48,2,3,4,2,0.0,1,10,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
66,1,69,1,3,6,2,0.0,9,6,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0
67,1,59,1,4,8,2,0.0,9,4,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,2,76,1,3,2,1,5.0,1,6,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,2,58,1,4,2,2,0.0,1,10,15,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
70,2,71,1,3,4,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0
71,2,36,1,4,3,1,5.0,1,7,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
72,2,60,1,4,2,2,0.0,2,5,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
73,2,74,1,3,2,2,0.0,1,99,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
74,2,63,1,3,4,2,0.0,1,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
75,2,48,1,3,4,2,0.0,1,99,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
76,1,55,1,3,4,2,0.0,1,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
77,2,34,1,4,4,2,0.0,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
78,1,32,1,3,8,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
79,2,32,1,3,5,2,0.0,8,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
80,1,59,1,3,2,2,0.0,1,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
81,2,28,1,4,6,2,0.0,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
82,2,42,1,4,3,2,0.0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
83,2,50,1,2,8,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
84,2,46,2,3,4,2,0.0,9,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
85,2,56,1,3,3,2,0.0,9,3,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
86,2,70,1,3,1,1,5.0,1,6,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
87,1,68,1,3,4,1,11.0,1,10,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
88,1,51,1,4,4,2,0.0,1,10,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
89,2,67,1,3,4,2,0.0,2,88,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
90,1,73,1,3,1,2,0.0,2,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
91,1,61,1,4,8,2,0.0,9,88,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0
92,1,53,2,3,3,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
93,1,66,2,4,2,2,0.0,1,5,10,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
94,1,31,2,4,3,2,0.0,2,10,17,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
95,1,65,1,2,8,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0
96,1,65,1,4,0,2,0.0,1,9,88,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
97,1,24,1,3,5,2,0.0,9,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
98,2,32,1,2,4,2,0.0,2,8,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
99,1,75,1,3,1,2,0.0,1,10,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
100,2,38,1,4,3,2,0.0,9,5,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0
101,2,71,1,3,2,2,0.0,2,3,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
102,1,39,1,3,8,2,0.0,1,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
103,1,52,1,4,3,1,5.0,9,99,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
104,1,35,1,1,8,2,0.0,1,5,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
105,1,42,1,2,8,2,0.0,9,4,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
106,2,40,1,3,4,2,0.0,1,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0
107,1,55,2,3,1,2,0.0,1,8,15,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
108,1,61,2,3,6,2,0.0,1,5,17,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
109,2,43,2,4,3,2,0.0,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
110,2,90,2,3,2,2,0.0,1,10,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
111,2,48,1,3,3,2,0.0,2,88,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
112,2,60,2,4,2,2,0.0,5,5,15,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
113,2,41,2,3,2,2,0.0,1,6,15,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
114,1,52,2,3,1,2,0.0,1,7,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
115,1,67,1,3,3,2,0.0,9,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
116,2,72,1,4,1,2,0.0,1,5,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0
117,1,53,1,3,2,1,5.0,2,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
118,2,65,1,3,3,2,0.0,1,10,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0
119,2,32,1,3,8,2,0.0,9,4,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
120,2,59,1,3,3,2,0.0,9,5,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0
121,2,56,1,4,0,2,0.0,1,6,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
122,2,35,1,3,4,2,0.0,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123,2,83,1,3,2,2,0.0,1,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0
124,2,66,1,3,4,2,0.0,1,10,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
125,2,65,1,3,4,2,0.0,1,10,13,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
126,2,29,1,3,8,2,0.0,9,88,17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
127,2,50,1,2,4,8,0.0,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
128,2,67,2,4,1,2,0.0,1,88,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
129,1,67,2,4,1,2,0.0,1,88,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
130,2,37,2,4,2,2,0.0,1,88,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
131,1,20,1,2,4,2,0.0,9,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
132,1,70,1,3,4,2,0.0,3,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0.0
133,1,67,1,3,3,2,0.0,9,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
134,1,55,1,4,0,2,0.0,1,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
135,1,40,1,2,8,2,0.0,9,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
136,1,19,2,3,5,2,0.0,2,7,15,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0
137,1,70,1,3,4,2,0.0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
138,1,73,1,3,4,2,0.0,9,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
139,1,73,1,3,3,1,5.0,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
140,1,32,1,3,4,2,0.0,9,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0
141,2,53,1,2,8,2,0.0,2,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
142,1,21,1,3,4,2,0.0,2,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
143,2,42,2,3,4,2,0.0,1,7,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0
144,1,35,2,2,8,2,0.0,8,5,15,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0
145,2,57,2,4,3,2,0.0,1,3,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
146,2,31,2,3,3,2,0.0,1,88,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
147,2,50,2,3,3,2,0.0,1,88,13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
148,1,60,2,4,2,2,0.0,9,99,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
149,2,23,1,3,5,2,0.0,1,1,9,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
150,1,59,1,4,3,2,0.0,1,5,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
151,2,19,1,4,4,2,0.0,9,88,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0
152,1,47,1,2,4,2,0.0,1,99,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
153,2,86,1,3,1,2,0.0,1,88,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
154,1,28,1,2,8,2,0.0,9,4,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
155,1,37,1,3,4,2,0.0,9,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
156,1,40,1,3,4,2,0.0,1,88,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
157,2,31,1,3,4,2,0.0,9,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
158,2,41,2,4,4,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0
159,2,70,2,4,1,2,0.0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0
160,2,34,2,3,5,2,0.0,1,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0
